0;6761
1;14031
2;8484
3;9290
4;7468
5;8363
6;7303
7;7022
8;7711
9;6894
10;7120
11;6921
12;7287
13;6805
14;6535
15;23982
16;6393
17;8754
18;7772
19;7503
20;7786
21;7587
22;7523
23;7789
24;7591
25;8595
26;7511
27;7530
28;6755
29;18362
