tcp;995
tcp;951
tcp;936
tcp;945
tcp;926
tcp;924
tcp;911
tcp;923
tcp;935
tcp;923
tcp;930
tcp;929
tcp;938
tcp;936
tcp;913
tcp;917
tcp;913
tcp;925
tcp;936
tcp;940
tcp;857
tcp;917
tcp;925
tcp;919
tcp;926
tcp;944
tcp;942
tcp;924
tcp;895
tcp;916
http;958
http;927
http;917
http;944
http;931
http;945
http;939
http;934
http;958
http;923
http;943
http;974
http;933
http;933
http;929
http;934
http;934
http;925
http;928
http;934
http;902
http;926
http;965
http;930
http;934
http;936
http;942
http;931
http;936
http;965
